sales,profit,shipping_cost,unit_price,quantity,discount,heavy_discount,heavy_discount_regions,non_profitable,non_profitable_regions,more_qty,more_qty_regions,category_Furniture,category_Office Supplies,category_Technology
190.89600000000002,-42.9516,8.72,95.44800000000001,2,0.2,0,0,1,0,0,1,0,1,0
314.352,-35.36460000000001,6.19,104.78399999999999,3,0.2,0,0,1,0,1,1,1,0,0
43.44,21.2856,5.97,5.43,8,0.0,0,0,0,0,1,1,0,1,0
51.84000000000001,18.144,4.93,5.184000000000001,10,0.2,0,0,0,0,1,1,0,1,0
17.9,8.95,4.89,3.5799999999999996,5,0.0,0,0,0,0,1,1,0,1,0
12.48,5.616,2.73,6.24,2,0.0,0,0,0,0,0,1,0,1,0
12.84,3.723599999999999,1.88,4.28,3,0.0,0,0,0,0,1,1,0,1,0
2.22,0.6659999999999999,1.6400000000000001,2.22,1,0.0,0,0,0,0,0,1,0,1,0
5.22,2.4012,1.51,2.61,2,0.0,0,0,0,0,0,1,0,1,0
3.008,0.3383999999999998,1.38,1.504,2,0.2,0,0,0,0,0,1,0,1,0
8.595000000000002,-6.303000000000001,1.37,1.7190000000000005,5,0.7,1,0,1,0,1,1,0,1,0
27.888,10.1094,1.26,3.9840000000000004,7,0.2,0,0,0,0,1,1,0,1,0
579.528,83.70959999999997,64.56,144.882,4,0.1,0,0,0,0,1,1,1,0,0
1024.38,215.11979999999994,62.17,146.34,7,0.0,0,0,0,0,1,1,1,0,0
353.568,-44.196000000000026,48.18,176.784,2,0.2,0,0,1,0,0,1,1,0,0
71.976,19.793400000000005,16.53,23.992,3,0.2,0,0,0,0,1,1,0,0,1
186.144,60.49679999999999,15.46,31.024,6,0.2,0,0,0,0,1,1,0,1,0
47.984,14.395200000000004,13.56,23.992,2,0.2,0,0,0,0,0,1,0,0,1
94.19999999999999,23.550000000000004,12.42,15.699999999999998,6,0.0,0,0,0,0,1,1,0,1,0
22.512000000000004,2.2512,5.83,7.504000000000001,3,0.2,0,0,0,0,1,1,1,0,0
97.44,35.078399999999995,5.5,32.48,3,0.0,0,0,0,0,1,1,1,0,0
34.650000000000006,10.395,4.99,11.550000000000002,3,0.0,0,0,0,0,1,1,0,1,0
28.4,13.347999999999997,4.46,5.68,5,0.0,0,0,0,0,1,1,0,1,0
13.97,3.632200000000001,2.16,13.97,1,0.0,0,0,0,0,0,1,0,1,0
26.22,12.3234,2.15,8.74,3,0.0,0,0,0,0,1,1,0,1,0
36.56,12.796,2.02,7.312,5,0.2,0,0,0,0,1,1,0,1,0
18.936,-3.787200000000003,1.79,6.312,3,0.2,0,0,1,0,1,1,0,1,0
6.0,2.0999999999999996,1.46,3.0,2,0.2,0,0,0,0,0,1,0,1,0
12.672,-3.168,1.42,4.224,3,0.2,0,0,1,0,1,1,0,1,0
5.04,1.764,1.35,2.52,2,0.2,0,0,0,0,0,1,0,1,0
3.444000000000001,-2.7551999999999994,1.31,1.7220000000000004,2,0.7,1,0,1,0,0,1,0,1,0
17.22,7.921200000000001,1.3,5.739999999999999,3,0.0,0,0,0,0,1,1,0,1,0
17.34,8.4966,1.24,5.78,3,0.0,0,0,0,0,1,1,0,1,0
3.9840000000000004,1.3944,1.22,3.9840000000000004,1,0.2,0,0,0,0,0,1,0,1,0
13.04,5.7376000000000005,1.16,3.26,4,0.0,0,0,0,0,1,1,0,1,0
1.9079999999999997,-3.2436000000000016,1.11,0.6359999999999999,3,0.8,1,0,1,0,1,1,0,1,0
470.3760000000001,52.917299999999955,137.41,156.79200000000003,3,0.2,0,0,0,0,1,1,0,0,1
821.8799999999999,213.68880000000001,83.56,136.98,6,0.0,0,0,0,0,1,1,1,0,0
1103.97,496.78649999999993,63.82,367.99,3,0.0,0,0,0,0,1,1,0,1,0
344.704,38.77919999999999,48.59,172.352,2,0.2,0,0,0,0,0,1,0,0,1
393.165,-204.44580000000005,22.1,131.055,3,0.5,1,0,1,0,1,1,1,0,0
287.90999999999997,33.58949999999999,18.31,95.96999999999998,3,0.4,1,0,0,0,1,1,0,0,1
471.92,29.49500000000002,16.71,235.96,2,0.2,0,0,0,0,0,1,0,0,1
177.64800000000002,-28.867800000000017,14.93,88.82400000000001,2,0.2,0,0,1,0,0,1,0,1,0
89.584,4.479200000000006,12.35,44.792,2,0.2,0,0,0,0,0,1,0,0,1
29.94,10.74,5.81,14.97,2,0.0,0,0,0,0,0,0,0,1,0
84.784,-16.956800000000005,5.8,42.392,2,0.2,0,0,1,0,0,1,0,1,0
39.816,7.465499999999999,5.7,13.272,3,0.2,0,0,0,0,1,1,0,0,1
64.96,-84.448,4.42,12.991999999999999,5,0.6,1,0,1,0,1,1,1,0,0
117.96,5.897999999999996,4.17,58.98,2,0.0,0,0,0,0,0,1,0,1,0
18.180000000000003,-13.938000000000002,3.26,4.545000000000001,4,0.7,1,0,1,0,1,1,0,1,0
34.019999999999996,14.28,2.83,17.009999999999998,2,0.0,0,0,0,0,0,0,0,1,0
23.64,5.319000000000001,2.04,7.88,3,0.2,0,0,0,0,1,1,0,1,0
12.624,-2.524800000000002,1.94,6.312,2,0.2,0,0,1,0,0,1,0,1,0
21.96,10.7604,1.6,10.98,2,0.0,0,0,0,0,0,1,0,1,0
32.059999999999995,-51.29600000000001,1.5899999999999999,3.2059999999999995,10,0.8,1,0,1,0,1,1,0,1,0
3.69,1.7343,1.3900000000000001,3.69,1,0.0,0,0,0,0,0,1,0,1,0
377.45,-264.21500000000003,55.53,75.49,5,0.5,1,0,1,0,1,1,1,0,0
195.76,97.88,34.03,48.94,4,0.0,0,0,0,0,1,1,0,1,0
259.136,-25.913599999999988,31.15,64.784,4,0.2,0,0,1,0,1,1,1,0,0
244.54999999999998,114.93849999999998,25.05,48.91,5,0.0,0,0,0,0,1,1,0,1,0
163.96,59.4355,17.38,32.792,5,0.2,0,0,0,0,1,1,0,1,0
98.16,9.815999999999995,13.93,16.36,6,0.0,0,0,0,0,1,1,0,0,1
102.93,48.377100000000006,10.69,34.31,3,0.0,0,0,0,0,1,1,0,1,0
45.24000000000001,-30.159999999999997,7.16,11.310000000000002,4,0.7,1,0,1,0,1,1,0,1,0
18.688,2.3359999999999994,4.12,4.672,4,0.2,0,0,0,0,1,1,0,1,0
28.68,-7.17,3.1,9.56,3,0.2,0,0,1,0,1,1,0,0,1
112.77600000000001,-8.458199999999998,2.56,37.592000000000006,3,0.2,0,0,1,0,1,1,0,0,1
15.936000000000002,5.1792,2.36,3.9840000000000004,4,0.2,0,0,0,0,1,1,0,1,0
5.231999999999998,-8.1096,1.74,1.3079999999999996,4,0.8,1,0,1,0,1,1,0,1,0
11.648000000000001,3.785599999999999,1.52,5.824000000000001,2,0.2,0,0,0,0,0,1,0,1,0
50.120000000000005,-0.6265000000000072,1.34,7.160000000000001,7,0.2,0,0,1,0,1,1,0,0,1
5.248,0.5903999999999991,1.26,2.624,2,0.2,0,0,0,0,0,1,0,1,0
41.28,13.931999999999999,7.14,6.88,6,0.2,0,0,0,0,1,1,0,1,0
187.01999999999998,26.099999999999998,6.96,31.169999999999998,6,0.0,0,0,0,0,1,0,0,1,0
13.36,6.4128,2.31,6.68,2,0.0,0,0,0,0,0,1,0,1,0
4.18,1.5048,1.18,4.18,1,0.0,0,0,0,0,0,1,1,0,0
479.97,177.58890000000002,55.01,159.99,3,0.0,0,0,0,0,1,1,0,0,1
97.82,45.97539999999999,10.13,48.91,2,0.0,0,0,0,0,0,1,0,1,0
59.519999999999996,15.475200000000001,8.02,19.84,3,0.0,0,0,0,0,1,1,0,1,0
49.632000000000005,16.750799999999998,7.52,8.272,6,0.2,0,0,0,0,1,1,0,1,0
91.96,39.5428,6.44,22.99,4,0.0,0,0,0,0,1,1,0,0,1
99.13600000000001,8.674399999999995,4.31,24.784000000000002,4,0.2,0,0,0,0,1,1,0,1,0
15.552000000000003,5.4432,3.66,5.184000000000001,3,0.2,0,0,0,0,1,1,0,1,0
18.62,5.399799999999999,1.91,9.31,2,0.0,0,0,0,0,0,1,0,1,0
16.896,5.279999999999999,1.85,4.224,4,0.2,0,0,0,0,1,1,0,1,0
6.672000000000001,0.5004,1.74,6.672000000000001,1,0.2,0,0,0,0,0,1,0,1,0
15.991999999999999,-13.992999999999999,1.54,7.9959999999999996,2,0.6,1,0,1,0,0,1,1,0,0
14.940000000000001,7.021800000000001,1.52,4.98,3,0.0,0,0,0,0,1,1,0,1,0
410.87999999999994,78.0,59.79,51.35999999999999,8,0.0,0,0,0,0,1,0,0,1,0
166.24,24.936000000000007,17.4,166.24,1,0.0,0,0,0,0,0,1,0,0,1
304.23,9.126899999999992,11.27,101.41000000000001,3,0.0,0,0,0,0,1,1,0,1,0
163.96,59.4355,7.84,32.792,5,0.2,0,0,0,0,1,1,0,1,0
89.856,21.3408,5.26,29.951999999999998,3,0.2,0,0,0,0,1,1,0,1,0
88.752,27.734999999999996,4.77,29.584,3,0.2,0,0,0,0,1,1,0,1,0
94.2,39.56400000000001,4.69,18.84,5,0.0,0,0,0,0,1,1,1,0,0
37.296,-1.0656000000000017,4.4,18.648,2,0.3,1,0,1,0,0,1,1,0,0
46.688,-2.918000000000003,4.29,11.672,4,0.2,0,0,1,0,1,1,0,0,1
33.4,16.032,2.25,6.68,5,0.0,0,0,0,0,1,1,0,1,0
24.816000000000003,8.375399999999999,2.02,8.272,3,0.2,0,0,0,0,1,1,0,1,0
20.96,5.24,1.56,10.48,2,0.0,0,0,0,0,0,1,0,1,0
14.592000000000002,2.5535999999999985,1.34,4.864000000000001,3,0.2,0,0,0,0,1,1,0,1,0
13.872000000000002,5.028600000000001,1.21,4.6240000000000006,3,0.2,0,0,0,0,1,1,0,1,0
14.976000000000003,5.428799999999998,1.15,2.4960000000000004,6,0.2,0,0,0,0,1,1,0,1,0
1126.02,56.30099999999999,72.26,375.34,3,0.0,0,0,0,0,1,1,0,1,0
600.558,-8.579400000000078,58.54,200.186,3,0.3,1,0,1,0,1,1,1,0,0
897.1500000000001,251.20200000000003,58.41,299.05,3,0.0,0,0,0,0,1,1,1,0,0
163.96,80.3404,7.09,40.99,4,0.0,0,0,0,0,1,1,0,1,0
163.96,70.50280000000001,4.96,40.99,4,0.0,0,0,0,0,1,1,0,0,1
51.072,5.107200000000002,1.94,8.512,6,0.2,0,0,0,0,1,1,1,0,0
51.449999999999996,13.891499999999999,1.84,17.15,3,0.0,0,0,0,0,1,1,0,1,0
19.44,9.3312,1.8199999999999998,6.48,3,0.0,0,0,0,0,1,1,0,1,0
5.88,1.9844999999999995,1.76,5.88,1,0.2,0,0,0,0,0,1,0,1,0
15.48,4.4891999999999985,1.6800000000000002,5.16,3,0.0,0,0,0,0,1,1,0,1,0
11.96,5.382,1.07,5.98,2,0.0,0,0,0,0,0,1,0,1,0
961.4800000000001,-204.31449999999995,89.23,192.29600000000002,5,0.2,0,0,1,0,1,1,0,1,0
254.05800000000002,-169.3719999999999,29.13,36.294000000000004,7,0.7,1,0,1,0,1,1,0,1,0
99.372,-7.097999999999992,10.79,49.686,2,0.3,1,0,1,0,0,1,1,0,0
194.52800000000002,24.315999999999974,10.39,97.26400000000001,2,0.2,0,0,0,0,0,1,0,1,0
87.84000000000002,29.699999999999996,7.97,14.640000000000002,6,0.0,0,0,0,0,1,0,0,1,0
33.568000000000005,-5.454800000000004,4.64,16.784000000000002,2,0.2,0,0,1,0,0,1,1,0,0
16.029999999999998,-25.648000000000003,2.16,3.2059999999999995,5,0.8,1,0,1,0,1,1,0,1,0
24.672,7.71,1.62,6.168,4,0.2,0,0,0,0,1,1,0,1,0
3.7439999999999998,1.3104,1.25,3.7439999999999998,1,0.2,0,0,0,0,0,1,0,1,0
773.94,224.4426,121.91,128.99,6,0.0,0,0,0,0,1,1,0,0,1
1003.6200000000001,0.0,121.83,167.27,6,0.0,0,0,0,0,1,1,0,1,0
348.56,104.56799999999998,116.69,43.57,8,0.0,0,0,0,0,1,1,0,1,0
195.96000000000004,19.596000000000018,26.17,39.19200000000001,5,0.2,0,0,0,0,1,1,0,0,1
575.92,71.98999999999998,17.88,287.96,2,0.2,0,0,0,0,0,1,0,0,1
171.20000000000002,64.19999999999999,12.9,34.24,5,0.2,0,0,0,0,1,1,0,1,0
79.9,35.156000000000006,5.46,39.95,2,0.0,0,0,0,0,0,1,0,0,1
21.36,7.209,2.13,4.272,5,0.2,0,0,0,0,1,1,0,1,0
30.4,15.2,2.12,6.08,5,0.0,0,0,0,0,1,1,0,1,0
16.496000000000002,5.567399999999999,1.72,8.248000000000001,2,0.2,0,0,0,0,0,1,0,1,0
6.688,2.3407999999999998,1.53,3.344,2,0.2,0,0,0,0,0,1,0,1,0
3.36,0.8736000000000002,1.27,1.68,2,0.0,0,0,0,0,0,1,0,1,0
1394.95,362.68699999999995,140.1,278.99,5,0.0,0,0,0,0,1,1,0,0,1
275.96999999999997,11.03879999999998,36.12,91.99,3,0.0,0,0,0,0,1,1,0,1,0
545.88,70.96439999999998,29.9,90.98,6,0.0,0,0,0,0,1,1,1,0,0
164.88,80.7912,12.73,54.96,3,0.0,0,0,0,0,1,1,0,1,0
69.48,20.843999999999994,12.04,69.48,1,0.0,0,0,0,0,0,1,0,1,0
261.74,65.435,9.2,130.87,2,0.0,0,0,0,0,0,1,0,1,0
25.584000000000003,8.9544,4.15,12.792000000000002,2,0.2,0,0,0,0,0,1,0,1,0
165.60000000000002,-6.210000000000015,3.86,55.20000000000001,3,0.2,0,0,1,0,1,1,0,0,1
27.630000000000003,4.14,2.65,27.630000000000003,1,0.0,0,0,0,0,0,0,0,1,0
26.8,12.863999999999999,2.01,13.4,2,0.0,0,0,0,0,0,1,1,0,0
952.7220000000002,-428.86800000000017,198.02,105.85800000000002,9,0.4,1,0,1,0,1,1,1,0,0
891.756,207.99599999999998,197.79,222.939,4,0.1,0,0,0,0,1,1,0,0,1
634.8000000000001,171.29999999999998,197.68,126.96000000000001,5,0.0,0,0,0,0,1,1,0,1,0
1134.81,453.86999999999995,197.68,126.08999999999999,9,0.0,0,0,0,0,1,1,0,0,1
722.36,50.56000000000001,197.659,361.18,2,0.0,0,0,0,0,0,1,0,1,0
491.13599999999997,141.176,197.263,245.56799999999998,2,0.2,0,0,0,0,0,1,1,0,0
642.7199999999999,224.94,197.18,321.35999999999996,2,0.0,0,0,0,0,0,1,0,0,1
947.2199999999997,-236.88000000000002,197.179,189.44399999999993,5,0.4,1,0,1,0,1,1,1,0,0
1309.203,494.403,197.03,187.029,7,0.1,0,0,0,0,1,1,0,1,0
1285.4399999999998,449.88,196.32,321.35999999999996,4,0.0,0,0,0,0,1,1,0,0,1
11.784,4.271699999999999,1.9,3.9280000000000004,3,0.2,0,0,0,0,1,1,0,1,0
578.238,129.19799999999998,195.59,144.5595,4,0.15,0,0,0,0,1,1,0,0,1
10.776000000000002,3.502199999999999,1.35,3.5920000000000005,3,0.2,0,0,0,0,1,1,0,1,0
755.0868000000003,225.46679999999998,195.533,251.6956000000001,3,0.002,0,0,0,0,1,1,0,0,1
14.399999999999999,7.056,1.34,2.88,5,0.0,0,0,0,0,1,1,0,1,0
131.904,47.815200000000004,12.44,43.967999999999996,3,0.2,0,0,0,0,1,1,0,1,0
498.36,9.96,195.371,83.06,6,0.0,0,0,0,0,1,1,0,0,1
1001.7,250.38000000000002,195.24,166.95000000000002,6,0.0,0,0,0,0,1,1,1,0,0
624.4200000000001,124.85999999999999,195.23,312.21000000000004,2,0.0,0,1,0,1,0,0,0,0,1
859.6800000000001,28.559999999999988,194.97,107.46000000000001,8,0.1,0,0,0,0,1,1,0,0,1
750.195,-41.805000000000014,194.67,150.03900000000002,5,0.1,0,0,1,0,1,1,1,0,0
535.653,232.08299999999997,194.6,178.55100000000002,3,0.1,0,0,0,0,1,1,0,1,0
1181.8799999999999,236.34,194.42,196.98,6,0.0,0,0,0,0,1,0,0,1,0
1429.0499999999997,371.49000000000007,194.36,204.14999999999995,7,0.0,0,0,0,0,1,1,0,1,0
142.776,17.84699999999998,12.03,142.776,1,0.2,0,0,0,0,0,1,0,1,0
43.18800000000001,-31.6712,5.01,10.797000000000002,4,0.7,1,0,1,0,1,1,0,1,0
752.2125599999999,126.59256,193.75799999999998,250.73752,3,0.002,0,0,0,0,1,1,0,0,1
45.696,5.140799999999992,4.57,15.232,3,0.2,0,0,0,0,1,1,1,0,0
781.0200000000001,140.57999999999998,193.57,260.34000000000003,3,0.0,0,0,0,0,1,1,0,0,1
1559.16,405.36,193.56,389.79,4,0.0,0,0,0,0,1,1,1,0,0
771.228,-321.3719999999999,193.37,385.614,2,0.4,1,0,1,0,0,1,0,0,1
60.81,17.0268,4.29,20.27,3,0.0,0,0,0,0,1,1,0,1,0
36.744,3.674400000000004,2.83,12.248,3,0.2,0,0,0,0,1,1,0,1,0
1508.04,331.68,192.96,377.01,4,0.0,0,0,0,0,1,1,0,0,1
738.6299999999999,-177.38999999999987,192.81,123.10499999999998,6,0.5,1,0,1,0,1,1,0,0,1
694.47,-458.43000000000006,192.64,99.21000000000001,7,0.5,1,0,1,0,1,1,0,1,0
874.0199999999999,340.83,192.52,124.85999999999999,7,0.0,0,0,0,0,1,1,1,0,0
10.368000000000002,3.6288,2.24,5.184000000000001,2,0.2,0,0,0,0,0,1,0,1,0
5.56,1.4455999999999998,2.01,2.78,2,0.0,0,0,0,0,0,1,0,1,0
41.25600000000001,-34.38000000000001,1.93,6.876000000000001,6,0.7,1,0,1,0,1,1,0,1,0
528.93,188.01000000000005,191.99,264.465,2,0.1,0,0,0,0,0,1,0,0,1
1487.808,132.168,191.65,371.952,4,0.1,0,0,0,0,1,1,1,0,0
1029.6,205.92000000000002,191.64,128.7,8,0.0,0,0,0,0,1,1,0,0,1
1317.3095999999998,396.6696,191.58,164.66369999999998,8,0.17,0,0,0,0,1,1,0,1,0
886.2210000000001,-88.80900000000001,190.71,126.60300000000002,7,0.1,0,0,1,0,1,1,0,1,0
1070.6849999999997,-14.354999999999905,190.41,356.8949999999999,3,0.25,0,0,1,0,1,1,1,0,0
1444.5479999999998,103.06799999999998,190.28,361.13699999999994,4,0.3,1,0,0,0,1,1,1,0,0
907.0110000000001,-30.428999999999988,190.15,129.573,7,0.1,0,0,1,0,1,1,1,0,0
822.42,156.24,190.03,411.21,2,0.0,0,0,0,0,0,0,1,0,0
17.92,2.4639999999999986,1.82,3.5840000000000005,5,0.2,0,0,0,0,1,1,1,0,0
7.218,-5.533800000000001,1.58,2.406,3,0.7,1,0,1,0,1,1,0,1,0
4.800000000000001,1.44,1.35,4.800000000000001,1,0.0,0,0,0,0,0,0,0,1,0
1332.6390000000001,547.569,189.33,121.14900000000002,11,0.1,0,0,0,0,1,1,0,1,0
759.7800000000001,75.92999999999999,189.08,151.95600000000002,5,0.1,0,0,0,0,1,1,1,0,0
7.64,3.7436,1.33,7.64,1,0.0,0,0,0,0,0,1,0,1,0
512.568,193.608,188.92,128.142,4,0.1,0,0,0,0,1,1,0,0,1
865.9,129.8,188.395,173.18,5,0.0,0,0,0,0,1,1,0,0,1
1111.725,135.855,188.21,370.575,3,0.1,0,0,0,0,1,1,1,0,0
778.5,132.3,188.1,389.25,2,0.0,0,0,0,0,0,0,1,0,0
1035.3,352.0,188.013,207.06,5,0.0,0,0,0,0,1,1,0,0,1
915.68,240.28000000000003,187.88,91.568,10,0.2,0,0,0,0,1,1,1,0,0
1207.67296,-286.88704000000007,187.68599999999998,150.95912,8,0.402,1,0,1,0,1,1,0,0,1
33.528000000000006,2.5146000000000015,1.11,11.176000000000002,3,0.2,0,0,0,0,1,1,0,1,0
535.8,-96.47999999999996,187.63,267.9,2,0.5,1,0,1,0,0,1,1,0,0
954.54,305.37,187.61,318.18,3,0.0,0,0,0,0,1,1,0,0,1
816.7199999999998,114.24,187.48,204.17999999999995,4,0.0,0,0,0,0,1,1,0,1,0
192.16,92.23679999999999,37.84,48.04,4,0.0,0,0,0,0,1,1,0,1,0
721.8534,251.69339999999997,187.404,240.6178,3,0.002,0,0,0,0,1,1,0,0,1
479.98400000000004,89.99699999999999,28.66,239.99200000000002,2,0.2,0,0,0,0,0,1,0,0,1
868.9499999999999,43.35,186.83,173.79,5,0.0,0,0,0,0,1,1,1,0,0
272.76000000000005,57.239999999999995,23.65,136.38000000000002,2,0.0,0,0,0,0,0,0,0,1,0
1227.57992,526.3199200000001,186.293,175.36855999999997,7,0.002,0,0,0,0,1,1,0,0,1
1620.3000000000002,356.4,185.97,162.03000000000003,10,0.0,0,0,0,0,1,1,1,0,0
37.94,18.211199999999998,4.5,18.97,2,0.0,0,0,0,0,0,1,0,1,0
13.616,3.574200000000001,2.65,6.808,2,0.2,0,0,0,0,0,1,0,0,1
1232.2800000000002,529.8299999999999,185.6,410.76000000000005,3,0.0,0,0,0,0,1,1,1,0,0
709.69776,5.6577600000000015,185.452,236.56592,3,0.002,0,0,0,0,1,1,0,0,1
1219.0399999999997,198.04000000000005,185.44,243.80799999999994,5,0.2,0,0,0,0,1,1,1,0,0
16.68,4.3368,2.58,8.34,2,0.0,0,0,0,0,0,1,0,1,0
19.44,9.3312,2.4,6.48,3,0.0,0,0,0,0,1,1,0,1,0
595.17,89.21999999999997,185.28,119.03399999999999,5,0.4,1,0,0,0,1,1,0,1,0
780.6911999999999,181.65120000000007,184.98,97.58639999999998,8,0.27,0,0,0,0,1,1,1,0,0
1157.58,254.52,184.92,192.92999999999998,6,0.0,0,0,0,0,1,1,0,0,1
27.439999999999998,2.401,2.29,13.719999999999999,2,0.2,0,0,0,0,0,1,0,1,0
911.5740000000001,101.214,184.8,151.929,6,0.1,0,0,0,0,1,1,1,0,0
1058.0220000000002,340.87199999999996,184.78,151.14600000000002,7,0.1,0,0,0,0,1,1,1,0,0
1094.22,317.15999999999997,184.6,182.37,6,0.0,0,1,0,1,1,0,1,0,0
15.42,6.939,2.02,7.71,2,0.0,0,0,0,0,0,1,0,1,0
1570.5999999999997,486.8,184.298,314.11999999999995,5,0.0,0,0,0,0,1,1,1,0,0
599.88,239.94,184.11,299.94,2,0.0,0,0,0,0,0,1,0,0,1
1022.5600000000001,327.14,183.663,92.96000000000001,11,0.0,0,0,0,0,1,1,0,0,1
538.4879999999999,-0.07199999999998852,183.4,134.62199999999999,4,0.1,0,0,1,0,1,1,1,0,0
590.904,-325.11599999999976,183.33,98.484,6,0.6,1,1,1,1,1,0,0,0,1
905.1299999999999,81.45,183.08,301.71,3,0.0,0,0,0,0,1,1,0,1,0
1429.4399999999998,471.59999999999997,182.84,357.35999999999996,4,0.0,0,0,0,0,1,1,0,0,1
987.9569999999999,-54.962999999999994,182.79,329.31899999999996,3,0.1,0,0,1,0,1,1,1,0,0
1136.64,181.68,182.73,142.08,8,0.0,0,0,0,0,1,1,0,1,0
1026.54,400.32,182.38,171.09,6,0.0,0,0,0,0,1,0,0,0,1
1104.408,208.608,182.2,276.102,4,0.1,0,0,0,0,1,1,0,1,0
903.0060000000001,-42.53400000000002,182.15,301.002,3,0.15,0,0,1,0,1,1,0,0,1
775.6200000000001,139.59,182.04,258.54,3,0.0,0,0,0,0,1,1,0,0,1
1393.5240000000001,356.004,181.95,348.38100000000003,4,0.1,0,0,0,0,1,1,1,0,0
